flight_id,airport_departure,airport_arrival,city,plane_model,time_departure,time_arrival,tickets_cost,total_ticket_sale,flight_duration,fuel_expense,profit_total
181213,NOZ,KRR,Krasnodar,Boeing 737-300,2017-02-27T12:45:00Z,2017-02-27T17:40:00Z,35100.00,245700.00,4.916666666666667,487930.0,-242230.0
181232,NOZ,KRR,Krasnodar,Boeing 737-300,2017-01-23T12:45:00Z,2017-01-23T17:40:00Z,35100.00,245700.00,4.916666666666667,487930.0,-242230.0
181235,NOZ,KRR,Krasnodar,Boeing 737-300,2017-02-13T12:45:00Z,2017-02-13T17:40:00Z,35100.00,386100.00,4.916666666666667,487930.0,-101830.0
181242,NOZ,KRR,Krasnodar,Boeing 737-300,2017-02-06T12:45:00Z,2017-02-06T17:40:00Z,35100.00,351000.00,4.916666666666667,487930.0,-136930.0
181246,NOZ,KRR,Krasnodar,Boeing 737-300,2017-01-16T12:45:00Z,2017-01-16T17:40:00Z,35100.00,210600.00,4.916666666666667,487930.0,-277330.0
181247,NOZ,KRR,Krasnodar,Boeing 737-300,2017-01-02T12:45:00Z,2017-01-02T17:40:00Z,35100.00,280800.00,4.916666666666667,487930.0,-207130.0
181250,NOZ,KRR,Krasnodar,Boeing 737-300,2017-01-30T12:45:00Z,2017-01-30T17:40:00Z,35100.00,351000.00,4.916666666666667,487930.0,-136930.0
181257,NOZ,KRR,Krasnodar,Boeing 737-300,2017-02-20T12:45:00Z,2017-02-20T17:40:00Z,35100.00,315900.00,4.916666666666667,487930.0,-172030.0
181260,NOZ,KRR,Krasnodar,Boeing 737-300,2017-01-09T12:45:00Z,2017-01-09T17:40:00Z,35100.00,456300.00,4.916666666666667,487930.0,-31630.0
181670,NOZ,AER,Sochi,Boeing 737-300,2017-02-07T04:40:00Z,2017-02-07T09:35:00Z,35600.00,569600.00,4.916666666666667,487930.0,81670.0
181678,NOZ,AER,Sochi,Boeing 737-300,2017-01-10T04:40:00Z,2017-01-10T09:35:00Z,35600.00,427200.00,4.916666666666667,487930.0,-60730.0
181680,NOZ,AER,Sochi,Boeing 737-300,2017-01-14T04:40:00Z,2017-01-14T09:35:00Z,35600.00,534000.00,4.916666666666667,487930.0,46070.0
181694,NOZ,AER,Sochi,Boeing 737-300,2017-01-24T04:40:00Z,2017-01-24T09:35:00Z,35600.00,427200.00,4.916666666666667,487930.0,-60730.0
181700,NOZ,AER,Sochi,Boeing 737-300,2017-01-28T04:40:00Z,2017-01-28T09:35:00Z,35600.00,640800.00,4.916666666666667,487930.0,152870.0
181702,NOZ,AER,Sochi,Boeing 737-300,2017-01-17T04:40:00Z,2017-01-17T09:35:00Z,35600.00,676400.00,4.916666666666667,487930.0,188470.0
181704,NOZ,AER,Sochi,Boeing 737-300,2017-02-28T04:40:00Z,2017-02-28T09:35:00Z,35600.00,462800.00,4.916666666666667,487930.0,-25130.0
181706,NOZ,AER,Sochi,Boeing 737-300,2017-01-31T04:40:00Z,2017-01-31T09:35:00Z,35600.00,356000.00,4.916666666666667,487930.0,-131930.0
181717,NOZ,AER,Sochi,Boeing 737-300,2017-02-25T04:40:00Z,2017-02-25T09:35:00Z,35600.00,996800.00,4.916666666666667,487930.0,508870.0
181718,NOZ,AER,Sochi,Boeing 737-300,2017-02-14T04:40:00Z,2017-02-14T09:35:00Z,35600.00,427200.00,4.916666666666667,487930.0,-60730.0
181729,NOZ,AER,Sochi,Boeing 737-300,2017-01-07T04:40:00Z,2017-01-07T09:35:00Z,35600.00,925600.00,4.916666666666667,487930.0,437670.0
181738,NOZ,AER,Sochi,Boeing 737-300,2017-02-11T04:40:00Z,2017-02-11T09:35:00Z,35600.00,498400.00,4.916666666666667,487930.0,10470.0
181750,NOZ,AER,Sochi,Boeing 737-300,2017-01-03T04:40:00Z,2017-01-03T09:35:00Z,35600.00,462800.00,4.916666666666667,487930.0,-25130.0
181752,NOZ,AER,Sochi,Boeing 737-300,2017-02-04T04:40:00Z,2017-02-04T09:35:00Z,35600.00,569600.00,4.916666666666667,487930.0,81670.0
181753,NOZ,AER,Sochi,Boeing 737-300,2017-02-21T04:40:00Z,2017-02-21T09:35:00Z,35600.00,462800.00,4.916666666666667,487930.0,-25130.0
181754,NOZ,AER,Sochi,Boeing 737-300,2017-02-18T04:40:00Z,2017-02-18T09:35:00Z,35600.00,712000.00,4.916666666666667,487930.0,224070.0
181763,NOZ,AER,Sochi,Boeing 737-300,2017-01-21T04:40:00Z,2017-01-21T09:35:00Z,35600.00,391600.00,4.916666666666667,487930.0,-96330.0
181232,NOZ,KRR,Krasnodar,Boeing 737-300,2017-01-23T12:45:00Z,2017-01-23T17:40:00Z,38600.00,38600.00,4.916666666666667,487930.0,-449330.0
181235,NOZ,KRR,Krasnodar,Boeing 737-300,2017-02-13T12:45:00Z,2017-02-13T17:40:00Z,38600.00,77200.00,4.916666666666667,487930.0,-410730.0
181247,NOZ,KRR,Krasnodar,Boeing 737-300,2017-01-02T12:45:00Z,2017-01-02T17:40:00Z,38600.00,38600.00,4.916666666666667,487930.0,-449330.0
181250,NOZ,KRR,Krasnodar,Boeing 737-300,2017-01-30T12:45:00Z,2017-01-30T17:40:00Z,38600.00,38600.00,4.916666666666667,487930.0,-449330.0
181257,NOZ,KRR,Krasnodar,Boeing 737-300,2017-02-20T12:45:00Z,2017-02-20T17:40:00Z,38600.00,38600.00,4.916666666666667,487930.0,-449330.0
181670,NOZ,AER,Sochi,Boeing 737-300,2017-02-07T04:40:00Z,2017-02-07T09:35:00Z,39200.00,78400.00,4.916666666666667,487930.0,-409530.0
181678,NOZ,AER,Sochi,Boeing 737-300,2017-01-10T04:40:00Z,2017-01-10T09:35:00Z,39200.00,39200.00,4.916666666666667,487930.0,-448730.0
181680,NOZ,AER,Sochi,Boeing 737-300,2017-01-14T04:40:00Z,2017-01-14T09:35:00Z,39200.00,39200.00,4.916666666666667,487930.0,-448730.0
181700,NOZ,AER,Sochi,Boeing 737-300,2017-01-28T04:40:00Z,2017-01-28T09:35:00Z,39200.00,39200.00,4.916666666666667,487930.0,-448730.0
181706,NOZ,AER,Sochi,Boeing 737-300,2017-01-31T04:40:00Z,2017-01-31T09:35:00Z,39200.00,78400.00,4.916666666666667,487930.0,-409530.0
181717,NOZ,AER,Sochi,Boeing 737-300,2017-02-25T04:40:00Z,2017-02-25T09:35:00Z,39200.00,39200.00,4.916666666666667,487930.0,-448730.0
181738,NOZ,AER,Sochi,Boeing 737-300,2017-02-11T04:40:00Z,2017-02-11T09:35:00Z,39200.00,117600.00,4.916666666666667,487930.0,-370330.0
181750,NOZ,AER,Sochi,Boeing 737-300,2017-01-03T04:40:00Z,2017-01-03T09:35:00Z,39200.00,78400.00,4.916666666666667,487930.0,-409530.0
181752,NOZ,AER,Sochi,Boeing 737-300,2017-02-04T04:40:00Z,2017-02-04T09:35:00Z,39200.00,78400.00,4.916666666666667,487930.0,-409530.0
181753,NOZ,AER,Sochi,Boeing 737-300,2017-02-21T04:40:00Z,2017-02-21T09:35:00Z,39200.00,39200.00,4.916666666666667,487930.0,-448730.0
181213,NOZ,KRR,Krasnodar,Boeing 737-300,2017-02-27T12:45:00Z,2017-02-27T17:40:00Z,105400.00,105400.00,4.916666666666667,487930.0,-382530.0
181232,NOZ,KRR,Krasnodar,Boeing 737-300,2017-01-23T12:45:00Z,2017-01-23T17:40:00Z,105400.00,421600.00,4.916666666666667,487930.0,-66330.0
181235,NOZ,KRR,Krasnodar,Boeing 737-300,2017-02-13T12:45:00Z,2017-02-13T17:40:00Z,105400.00,316200.00,4.916666666666667,487930.0,-171730.0
181242,NOZ,KRR,Krasnodar,Boeing 737-300,2017-02-06T12:45:00Z,2017-02-06T17:40:00Z,105400.00,105400.00,4.916666666666667,487930.0,-382530.0
181246,NOZ,KRR,Krasnodar,Boeing 737-300,2017-01-16T12:45:00Z,2017-01-16T17:40:00Z,105400.00,105400.00,4.916666666666667,487930.0,-382530.0
181247,NOZ,KRR,Krasnodar,Boeing 737-300,2017-01-02T12:45:00Z,2017-01-02T17:40:00Z,105400.00,105400.00,4.916666666666667,487930.0,-382530.0
181250,NOZ,KRR,Krasnodar,Boeing 737-300,2017-01-30T12:45:00Z,2017-01-30T17:40:00Z,105400.00,210800.00,4.916666666666667,487930.0,-277130.0
181260,NOZ,KRR,Krasnodar,Boeing 737-300,2017-01-09T12:45:00Z,2017-01-09T17:40:00Z,105400.00,421600.00,4.916666666666667,487930.0,-66330.0
181670,NOZ,AER,Sochi,Boeing 737-300,2017-02-07T04:40:00Z,2017-02-07T09:35:00Z,106800.00,320400.00,4.916666666666667,487930.0,-167530.0
181678,NOZ,AER,Sochi,Boeing 737-300,2017-01-10T04:40:00Z,2017-01-10T09:35:00Z,106800.00,427200.00,4.916666666666667,487930.0,-60730.0
181680,NOZ,AER,Sochi,Boeing 737-300,2017-01-14T04:40:00Z,2017-01-14T09:35:00Z,106800.00,106800.00,4.916666666666667,487930.0,-381130.0
181694,NOZ,AER,Sochi,Boeing 737-300,2017-01-24T04:40:00Z,2017-01-24T09:35:00Z,106800.00,106800.00,4.916666666666667,487930.0,-381130.0
181700,NOZ,AER,Sochi,Boeing 737-300,2017-01-28T04:40:00Z,2017-01-28T09:35:00Z,106800.00,320400.00,4.916666666666667,487930.0,-167530.0
181702,NOZ,AER,Sochi,Boeing 737-300,2017-01-17T04:40:00Z,2017-01-17T09:35:00Z,106800.00,106800.00,4.916666666666667,487930.0,-381130.0
181704,NOZ,AER,Sochi,Boeing 737-300,2017-02-28T04:40:00Z,2017-02-28T09:35:00Z,106800.00,106800.00,4.916666666666667,487930.0,-381130.0
181717,NOZ,AER,Sochi,Boeing 737-300,2017-02-25T04:40:00Z,2017-02-25T09:35:00Z,106800.00,320400.00,4.916666666666667,487930.0,-167530.0
181718,NOZ,AER,Sochi,Boeing 737-300,2017-02-14T04:40:00Z,2017-02-14T09:35:00Z,106800.00,106800.00,4.916666666666667,487930.0,-381130.0
181729,NOZ,AER,Sochi,Boeing 737-300,2017-01-07T04:40:00Z,2017-01-07T09:35:00Z,106800.00,213600.00,4.916666666666667,487930.0,-274330.0
181738,NOZ,AER,Sochi,Boeing 737-300,2017-02-11T04:40:00Z,2017-02-11T09:35:00Z,106800.00,213600.00,4.916666666666667,487930.0,-274330.0
181750,NOZ,AER,Sochi,Boeing 737-300,2017-01-03T04:40:00Z,2017-01-03T09:35:00Z,106800.00,106800.00,4.916666666666667,487930.0,-381130.0
181752,NOZ,AER,Sochi,Boeing 737-300,2017-02-04T04:40:00Z,2017-02-04T09:35:00Z,106800.00,213600.00,4.916666666666667,487930.0,-274330.0
181753,NOZ,AER,Sochi,Boeing 737-300,2017-02-21T04:40:00Z,2017-02-21T09:35:00Z,106800.00,213600.00,4.916666666666667,487930.0,-274330.0
181754,NOZ,AER,Sochi,Boeing 737-300,2017-02-18T04:40:00Z,2017-02-18T09:35:00Z,106800.00,213600.00,4.916666666666667,487930.0,-274330.0
181763,NOZ,AER,Sochi,Boeing 737-300,2017-01-21T04:40:00Z,2017-01-21T09:35:00Z,106800.00,320400.00,4.916666666666667,487930.0,-167530.0
181042,NOZ,AAQ,Anapa,Boeing 737-300,2017-02-06T08:15:00Z,2017-02-06T13:20:00Z,,,5.083333333333333,504470.0,
181060,NOZ,AAQ,Anapa,Boeing 737-300,2017-01-16T08:15:00Z,2017-01-16T13:20:00Z,,,5.083333333333333,504470.0,
181065,NOZ,AAQ,Anapa,Boeing 737-300,2017-01-23T08:15:00Z,2017-01-23T13:20:00Z,,,5.083333333333333,504470.0,
181068,NOZ,AAQ,Anapa,Boeing 737-300,2017-02-20T08:15:00Z,2017-02-20T13:20:00Z,,,5.083333333333333,504470.0,
